MoltStartDate,MoltDuration,HauloutDuration,AgeSexCat
103.0150654,10.81834857,48,JuvenileMale
109.5992066,11.87787028,44,JuvenileMale
110.0100724,10.36929764,48,JuvenileMale
111.2216649,11.33485455,50,JuvenileMale
111.2988056,10.72030559,52,JuvenileMale
111.5200235,10.34959283,44,JuvenileMale
112.3523154,13.60941311,52,JuvenileMale
113.5179873,11.27610547,48,JuvenileMale
114.2655851,12.36519114,47,JuvenileMale
115.2574328,11.51885585,35,JuvenileMale
115.3265632,10.84054721,45,JuvenileMale
116.0887653,11.0536976,34,JuvenileMale
116.0929759,10.8787551,42,JuvenileMale
116.6086799,11.06085404,43,JuvenileMale
116.9200919,9.912908101,45,JuvenileMale
117.2560394,9.276637129,59,JuvenileMale
117.6993553,9.418162751,53,JuvenileMale
118.1667516,12.14333473,50,JuvenileMale
118.7351134,11.60990072,41,JuvenileMale
118.8740111,10.85656529,37,JuvenileMale
120.3179323,10.57245598,45,JuvenileMale
120.9740862,9.727102742,41,JuvenileMale
121.3158184,12.12083229,35,JuvenileMale
121.8801239,9.739685664,39,JuvenileMale
121.9745458,9.99418718,44,JuvenileMale
122.3707392,10.44445989,37,JuvenileMale
122.4306538,9.056455207,38,JuvenileMale
122.4436663,10.44329893,47,JuvenileMale
122.6926071,9.821741349,28,JuvenileMale
123.3466541,9.620393528,45,JuvenileMale
123.424289,9.02152938,52,JuvenileMale
123.5325069,12.92819694,34,JuvenileMale
124.0173884,12.46292554,59,JuvenileMale
124.5076462,8.660941874,35,JuvenileMale
125.1296928,7.854185654,58,JuvenileMale
125.4164998,7.877173755,52,JuvenileMale
125.4965523,10.28359617,36,JuvenileMale
126.1151474,11.91081348,43,JuvenileMale
127.0691767,12.56044192,50,JuvenileMale
127.2992022,10.03791684,38,JuvenileMale
127.5959272,9.07695945,34,JuvenileMale
127.6413389,9.857032791,40,JuvenileMale
127.7715034,11.06410187,32,JuvenileMale
128.2294704,9.491147336,42,JuvenileMale
128.3748724,10.43750836,49,JuvenileMale
129.1710675,10.1385482,0,JuvenileMale
129.2491033,11.98526845,42,JuvenileMale
129.5143675,9.84830714,39,JuvenileMale
129.6584297,10.4029575,38,JuvenileMale
129.9173712,9.411779583,45,JuvenileMale
131.8262773,9.95966777,38,JuvenileMale
131.9222892,10.63363682,45,JuvenileMale
133.0291395,9.399416531,35,JuvenileMale
133.1063981,7.996980903,51,JuvenileMale
133.6014976,7.82304674,26,JuvenileMale
134.423921,9.152453993,35,JuvenileMale
134.4833011,11.9140931,35,JuvenileMale
135.6513263,9.413475399,43,JuvenileMale
135.8569231,12.59680839,44,JuvenileMale
136.0194887,11.5606603,44,JuvenileMale
136.108377,10.62755518,46,JuvenileMale
139.0175035,9.155826992,28,JuvenileMale
142.681964,10.29551481,39,JuvenileMale
142.7474391,10.57352881,31,JuvenileMale
144.0980899,10.38502313,96,JuvenileMale
144.2985409,10.11365199,45,JuvenileMale
144.3394068,9.520402778,42,JuvenileMale
144.9100887,10.2147516,25,JuvenileMale
145.2143515,8.388122139,41,JuvenileMale
146.5331222,9.049276561,30,JuvenileMale
154.7554861,8.732295358,30,JuvenileMale
155.3111323,11.30915297,38,JuvenileMale
166.6912877,8.024400577,34,JuvenileMale
99.52470984,11.02553832,48,JuvenileFemale
102.9574956,6.680243919,57,JuvenileFemale
107.2446552,7.158340531,48,JuvenileFemale
108.3643557,4.461369005,50,JuvenileFemale
108.3693073,9.369499967,48,JuvenileFemale
109.9349067,25.78552545,39,JuvenileFemale
110.469149,8.233167937,40,JuvenileFemale
111.7325175,9.878741348,29,JuvenileFemale
112.1617591,9.582624277,39,JuvenileFemale
112.9558429,11.02814343,44,JuvenileFemale
113.4231648,15.28594228,48,JuvenileFemale
113.5625655,9.855186598,43,JuvenileFemale
113.7498357,13.97235828,35,JuvenileFemale
114.7659903,15.18911749,37,JuvenileFemale
115.0274009,12.14830446,43,JuvenileFemale
115.1613684,10.58002498,45,JuvenileFemale
115.2878728,6.321058565,46,JuvenileFemale
115.8987508,12.43038569,43,JuvenileFemale
116.5660115,6.936380555,44,JuvenileFemale
117.0309424,8.118035405,48,JuvenileFemale
117.038107,1.207467937,40,JuvenileFemale
117.1248133,7.229114968,31,JuvenileFemale
117.9120424,12.10751747,40,JuvenileFemale
118.5083804,9.785505368,43,JuvenileFemale
118.5099262,8.359957552,38,JuvenileFemale
118.980394,7.115877644,52,JuvenileFemale
121.2029324,8.103971698,40,JuvenileFemale
121.8761725,9.154111932,53,JuvenileFemale
122.2021201,13.45834142,39,JuvenileFemale
122.3294891,25.0048853,45,JuvenileFemale
123.3936427,10.43758037,32,JuvenileFemale
123.8470093,12.58914516,32,JuvenileFemale
124.4359636,0.828275579,57,JuvenileFemale
124.5430551,8.17108031,39,JuvenileFemale
124.9113139,7.009364314,35,JuvenileFemale
125.1543313,8.362639422,41,JuvenileFemale
125.7885618,10.33806506,41,JuvenileFemale
126.1955085,10.35651002,31,JuvenileFemale
126.6596209,7.544995733,35,JuvenileFemale
127.3599671,9.956950959,58,JuvenileFemale
127.9234772,11.59785161,52,JuvenileFemale
128.0027937,7.796344475,35,JuvenileFemale
128.4143817,10.93195148,38,JuvenileFemale
128.4920677,9.689981726,33,JuvenileFemale
