Location,Period,Number of Whales
Southern Hemisphere,Pre-whaling,175000
Southern Hemisphere,Current,2000
North Pacific,Pre-whaling,4900
North Pacific,Current,2500
North Atlantic,Pre-whaling,1300
North Atlantic,Current,500
